tenderId;CustomerId;Заказчик;predmet torgov;NMCK;vid torgov;oos num;website;oos date;oos end date;Дата рассмотрения 1 частей АЗ\ РиО конкурс?;Дата проведения Аукциона \ предвар отбора конкурс ОУ;Дата рассмотрения 2 части заявок;кол-во поданных заявок эл\ бум;кол-во отозваных заяок  опоздавших;УРЗ отклоненные;Участники конкурса;Winner;contract price;tender result;reason close;FAS;FIO;customer type
66444497;59000;Государственное казенное учреждение Московской области «Специальный центр «Звенигород»;Услуги страхования транспортных средств;78933.96000;Конкурс;0348200026515000011;zakupki.gov.ru;2015-04-01 13:16:13.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;" СОАО  ""ВСК""";69951.24000;Конкурс;NULL;NULL;Попов Игорь Павлович;Заказчик
66445651;30026;Государственное казенное учреждение Московской области Можайский центр занятости населения;Организация проведения ярмарок вакансий и учебных рабочих мест ;200000.00000;Конкурс;0348200020615000003;zakupki.gov.ru;2015-03-06 14:45:03.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Общество с ограниченной ответственностью ""Медиа Парк""";198000.00000;Конкурс;NULL;NULL;Муравьёва Ольга Александровна ;Заказчик
66446121;30009;Государственное казенное учреждение Московской области Железнодорожненский центр занятости населения;Профессиональное обучение безработных граждан;393075.00000;Конкурс;0348200043615000002;zakupki.gov.ru;2015-02-27 09:45:13.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;НОЧУ ДПО «УЦ «Новогиреево» АДО»;29300.00000;Конкурс;NULL;NULL;Соловьева Виктория Борисовна;Заказчик
66446446;30019;Государственное казенное учреждение Московской области Красногорский центр занятости населения;Открытый конкурс на право заключение государственного контракта по  оказанию услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан, включая обучение в другой местности;156099.00000;Конкурс;0348200013615000001;zakupki.gov.ru;2015-02-10 10:41:27.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Негосударственное образовательное учреждение дополнительного профессионального образования ""АРТ""";36000.00000;Конкурс;NULL;NULL;Татьяна Александровна Степанова;Заказчик
66447017;30047;Государственное казенное учреждение Московской области Химкинский центр занятости населения;Предоставление образовательных услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан ;1074632.00000;Конкурс;0348200011515000001;zakupki.gov.ru;2015-01-30 18:21:57.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Автономная некоммерческая организация дополнительного профессионального образования""Химкинский учебный центр""";337500.00000;Конкурс;NULL;NULL;Зверева Наталья Петровна;Заказчик
66447117;30051;Государственное казенное учреждение Московской области Щелковский центр занятости населения;Предоставление образовательных услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан;423000.00000;Конкурс;0348200008815000001;zakupki.gov.ru;2015-02-18 18:16:17.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"НОУ СПО ""КЭП""";423000.00000;Конкурс;NULL;NULL;Елена Вадимовна Кулехина;Заказчик
66447156;30052;Государственное казенное учреждение Московской области Электростальский центр занятости населения;Предоставление образовательных услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан;483288.00000;Конкурс;0348200000315000001;zakupki.gov.ru;2015-01-15 13:16:49.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;НОУ ДПО 'БИЗНЕС-СОФТ';450000.00000;Конкурс;NULL;NULL;Шевцова Вера Андреевна;Заказчик
66447158;30052;Государственное казенное учреждение Московской области Электростальский центр занятости населения;Предоставление образовательных услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан;137466.00000;Конкурс;0348200000315000008;zakupki.gov.ru;2015-01-15 11:45:59.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"АНО ""Профессионал-центр""";131000.00000;Конкурс;NULL;NULL;Шевцова Вера Андреевна;Заказчик
66447161;30052;Государственное казенное учреждение Московской области Электростальский центр занятости населения;Оказание услуг по подготовке и проведению межрегиональной ярмарки вакансий рабочих и учебных мест в г.о. Электросталь ;200000.00000;Конкурс;0348200000315000009;zakupki.gov.ru;2015-02-20 09:15:12.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Автономная некоммерческая организация ""Агентство молодежной информации""";198000.00000;Конкурс;NULL;NULL;Безуглова Евгения Михайловна;Заказчик
66446855;30037;Государственное казенное учреждение Московской области Реутовский центр занятости населения;Предоставление образовательных услуг по профессиональному обучению и дополнительному профессиональному образованию безработных граждан;379836.00000;Конкурс;0348200033515000001;zakupki.gov.ru;2015-03-11 10:42:11.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;НОУ 'АРТ';34500.00000;Конкурс;NULL;NULL;Ольга Юрьевна Валканова;Заказчик
66447369;14053;Государственное бюджетное образовательное учреждение для детей-сирот и детей ,оставшихся без попечения родителей, Непецинский детский дом-школа Московской области;Охранные услуги;772200.00000;Конкурс;0348200016515000004;zakupki.gov.ru;2015-02-19 13:00:09.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ООО ЧОО""РОСА""";772200.00000;Конкурс;NULL;NULL;Галина Петровна Миронова;Заказчик
66447515;107012;"Государственное казенное учреждение Московской области ""Московская областная специализированная аварийно-восстановительная служба""";Обязательное страхование автогражданской ответственности  владельцев транспортных средств;395374.37000;Конкурс;0348200020815000007;zakupki.gov.ru;2015-02-17 18:01:08.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ООО ""Росгосстрах""";380905.93000;Конкурс;NULL;NULL;Карасева Ирина Владимировна;Заказчик
66447516;107012;"Государственное казенное учреждение Московской области ""Московская областная специализированная аварийно-восстановительная служба""";Страхование гражданской ответственности организаций, эксплуатирующих опасные производственные объекты;400000.00000;Конкурс;0348200020815000008;zakupki.gov.ru;2015-02-18 08:00:11.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ООО ""Росгосстрах""";280000.00000;Конкурс;NULL;NULL;Ирина Владимировна Карасева;Заказчик
66447603;14147;"Государственное бюджетное профессиональное образовательное учреждение Московской области ""Жуковский индустриально-экономический техникум""";Оказание услуг по охране объектов и имущества для нужд учреждений образования Московской области в 2015 году;1881600.00000;Конкурс;0348200038515000006;zakupki.gov.ru;2015-03-24 11:46:32.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Общество с ограниченной ответственностью ""Частное охранное предприятие ""МАРС""";1646400.00000;Конкурс;NULL;NULL;Жибика Светлана Валерьевна;Заказчик
66448257;14047;Государственное бюджетное специальное учебно-воспитательное учреждение для детей и подростков с девиантным поведением Чеховская специальная общеобразовательная школа Московской области;Открытый конкурс на право заключения контракта на оказание охранных услуг для нужд Государственного  бюджетного специального учебно-воспитательного учреждения для детей и подростков с девиантным поведением Чеховской  специальной общеобразовательной школы Московской области;2250000.00000;Конкурс;0348200046315000001;zakupki.gov.ru;2015-01-26 18:20:24.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Общество с ограниченной ответственностью ""Частное охранное предприятие ""МАРС""";2238750.00000;Конкурс;NULL;NULL;Карпова Лариса Александровна;Заказчик
66448342;14048;Государственное бюджетное специальное учебно – воспитательное учреждение для детей и подростков с девиантным поведением Каширская специальная общеобразовательная школа закрытого типа Московской области;Охрана объектов;1872720.00000;Конкурс;0348200076415000004;zakupki.gov.ru;2015-01-27 17:42:31.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Общество с ограниченной ответственностью «Охранная организация «Тайга»;1650000.00000;Конкурс;NULL;NULL;Юрий Леонович Емельянов;Заказчик
66449020;12000;Главное управление по информационной политике Московской области;Оказание информационных услуг по освещению деятельности органов государственной власти Московской области в электронном средстве массовой информации путем изготовления и распространения (вещания) на территории Московской области телепередач;1295000000.00000;Конкурс;0148200005415000003;zakupki.gov.ru;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Общество с ограниченной ответственностью ""Телеканал Подмосковье""";1295000000.00000;Конкурс;NULL;NULL;Прокопенко Валерия Викторовна ;Заказчик
